order,combo,o_info
3,"('draw_sum', 'n1_delta', 'n3_mod5')",-0.08176109461511416
3,"('draw_range_roll_std', 'draw_sum', 'n1_delta')",-0.081684679305976
3,"('draw_sum', 'n3_mod7', 'n4_mod5')",-0.08165148669559663
3,"('draw_sum', 'n2_mod7', 'n3_mod5')",-0.08142966560711606
3,"('draw_sum', 'n1_delta2', 'n3_mod5')",-0.0814073439215992
3,"('draw_sum', 'n5_delta', 'n5_mod5')",-0.08071670824663713
3,"('draw_range', 'draw_sum', 'n2_n4_sum')",-0.08062900610870471
3,"('draw_std_roll_std', 'draw_sum', 'n1_mod5')",-0.08013499569476856
3,"('draw_sum', 'n1_mod7', 'n3_mod5')",-0.07895304957050797
3,"('draw_sum', 'n1_delta2', 'n1_mod5')",-0.07863323780117604
3,"('draw_sum', 'n1_delta2', 'n4_delta')",-0.07822299979635972
3,"('draw_std_roll_std', 'draw_sum', 'n3_mod5')",-0.07822167155870474
3,"('draw_sum', 'n1_delta2', 'n5_delta')",-0.07787882357471965
3,"('draw_sum', 'n2_mod5', 'n5_delta')",-0.07739640132963999
3,"('draw_sum', 'n3_delta', 'n4_mod5')",-0.07672039655419916
3,"('draw_sum', 'n4_delta2', 'n5_delta2')",-0.07619227156502184
3,"('draw_sum', 'n1_delta2', 'n3_delta2')",-0.07615355943048385
3,"('draw_range_roll_std', 'draw_sum', 'n2_mod5')",-0.07611563915074093
3,"('draw_sum', 'draw_sum_roll_std', 'n1_delta')",-0.07477928159924474
3,"('draw_sum', 'n2_mod7', 'n5_mod5')",-0.07435172868306239
3,"('draw_std_roll_std', 'draw_sum', 'n1_delta')",-0.07430531983943567
3,"('draw_std_roll_std', 'draw_sum', 'n2_mod5')",-0.07391481629044172
3,"('draw_std_roll_std', 'draw_sum', 'n5_mod5')",-0.07373410579343798
3,"('draw_range_roll_std', 'draw_sum', 'n5_mod5')",-0.07334219662123864
3,"('draw_sum', 'n1_n2_sum', 'n4_mod7')",-0.07319410648210756
3,"('draw_sum', 'n3_delta', 'n3_mod5')",-0.07283566128426777
